yardline_100,ydstogo,epa,wpa
1.0,1.0,-3.5684774,-0.076870024
2.0,1.0,-3.45671,-0.0965247
2.0,2.0,-2.1451323,-0.07797173
3.0,1.0,-2.3101525,-0.09829776
3.0,2.0,-2.5223083,-0.10064426
3.0,3.0,-2.0420704,-0.055004112
4.0,1.0,-4.2837696,-0.09680632
4.0,2.0,-1.690285,-0.0655718
4.0,3.0,-0.23195791,-0.026989127
4.0,4.0,-1.1214103,-0.03191768
5.0,1.0,-2.5297475,-0.1381202
5.0,2.0,-0.13718443,-0.026895374
5.0,3.0,3.256201,0.023403704
5.0,4.0,-1.3907416,-0.0003943638
5.0,5.0,-1.220186,-0.013767928
6.0,1.0,-2.8565266,-0.07836595
6.0,2.0,-1.2649088,-0.043191988
6.0,3.0,-2.0184038,-0.053449363
6.0,4.0,-1.2963731,-0.02991677
6.0,5.0,-2.855403,-0.1936284
6.0,6.0,-2.3809426,-0.07949699
7.0,1.0,-3.932295,-0.089599036
7.0,2.0,-2.2115366,-0.021732936
7.0,3.0,0.40818936,-0.018750595
7.0,4.0,-0.5437028,-0.008339937
7.0,5.0,-2.1269119,-0.0769373
7.0,6.0,0.13712375,-0.001811663
7.0,7.0,-0.6866662,-0.022275439
8.0,1.0,-3.3474607,-0.07096013
8.0,2.0,-2.2537174,-0.044459194
8.0,3.0,-3.0429242,-0.04404886
8.0,4.0,-1.5461223,-0.010481143
8.0,5.0,-2.7823718,-0.10215968
8.0,7.0,-2.7746544,-0.0013614019
8.0,8.0,-1.3149737,-0.012198073
9.0,1.0,-3.784031,-0.06527067
9.0,2.0,-1.870133,-0.021428283
9.0,3.0,-2.4301686,-0.2670421
9.0,4.0,-2.3623328,-0.034811847
9.0,5.0,-2.679208,-0.0033803098
9.0,7.0,-0.058836102,-0.18699509
9.0,8.0,-2.235236,-0.3536043
9.0,9.0,-0.70957166,-0.107617386
10.0,1.0,-1.9959556,-0.07195268
10.0,2.0,-0.40535024,-0.054305494
10.0,3.0,-3.3806603,-0.12823413
10.0,4.0,-0.1910137,0.016479136
10.0,5.0,-2.4336972,-0.04874317
10.0,6.0,-1.7626253,-0.027341038
10.0,7.0,-2.8355615,-0.0011155166
10.0,8.0,-2.6155667,-0.00011646174
10.0,9.0,-3.0074847,-0.09031105
10.0,10.0,-2.7073655,-0.009128327
11.0,1.0,-2.8461046,-0.15055321
11.0,2.0,-3.0092473,-0.0016306969
11.0,3.0,-1.7798357,-0.023077516
11.0,4.0,-1.8865522,-0.00081304554
11.0,5.0,0.08867526,0.044184744
11.0,7.0,-2.5957587,-0.012150519
11.0,8.0,-3.0959265,-0.19170307
11.0,10.0,-1.5962356,-0.013088999
11.0,11.0,-1.5711508,0.012316513
12.0,1.0,-1.8009462,-0.04972614
12.0,2.0,-0.360643,-0.03623426
12.0,3.0,1.8637347,0.068219624
12.0,4.0,-1.4843664,-0.016161565
12.0,5.0,-0.309309,0.00012871978
12.0,7.0,-1.4421769,-0.011149747
12.0,8.0,-3.085822,-0.026752288
12.0,10.0,-0.27135912,-0.043197572
12.0,11.0,-3.1096845,-0.0026480225
12.0,12.0,-0.9918992,-0.00048667993
13.0,1.0,-2.250137,-0.082380705
13.0,2.0,-0.5388948,0.0062747546
13.0,3.0,-2.9142115,-0.021353735
13.0,4.0,-0.2100302,-0.0110209435
13.0,8.0,-2.894977,-0.07454722
13.0,9.0,0.44970927,-0.010242701
13.0,10.0,-0.8722603,-0.006292579
13.0,11.0,2.282375,0.03215152
13.0,13.0,-1.6472663,-0.00063002633
14.0,1.0,-3.6594796,-0.10137339
14.0,2.0,-3.2224035,-0.07869078
14.0,3.0,-1.9044708,-0.048832983
14.0,4.0,-1.6830602,-0.023717936
14.0,5.0,-0.21351016,-0.00695312
14.0,6.0,-2.148191,-0.0050444775
14.0,7.0,-2.6100228,-0.0002940071
14.0,9.0,-0.01973677,-0.008533284
14.0,10.0,2.3253648,0.081892654
14.0,13.0,-2.41195,-1.0851363e-05
14.0,14.0,-0.49342293,0.004201721
15.0,1.0,-2.636317,-0.08326218
15.0,2.0,-1.9159184,-0.042540632
15.0,4.0,-3.0569541,-0.081262045
15.0,5.0,-3.538645,-0.010611597
15.0,6.0,-0.6096853,0.022093479
15.0,9.0,2.784839,0.046439826
15.0,10.0,-2.5686827,-0.05616959
15.0,12.0,-0.93300205,0.006527994
15.0,15.0,0.72676235,0.00052934885
16.0,1.0,-3.7619548,-0.08570709
16.0,2.0,-1.2754933,0.01263396
16.0,3.0,-2.7242694,-0.032150324
16.0,4.0,-3.3379874,-0.0027744963
16.0,7.0,-2.4184902,-0.27602506
16.0,8.0,2.7741773,0.12154341
16.0,10.0,-3.0595417,-4.010959e-05
