yardline_100,make_epa,make_wpa,make_n,miss_epa,miss_wpa,miss_n
1,0.02238182587899235,-0.03651137120629612,19.0,,,
2,0.030008404208156196,-0.02913443497294244,53.0,-9.964309431332847,-0.04096349594987603,1.0
3,0.03647413639118468,-0.01614931723292685,88.0,,,
4,0.042414426619518136,-0.02268128912549661,97.0,-2.742032445940784,-0.1026659607887268,1.0
5,0.048325925247062106,-0.00608276904954828,136.0,,,
6,0.05686167766184454,-0.012548829274912306,122.0,-4.133470088154449,-0.10010369122028351,2.0
7,0.07028083959553245,-0.00978170925611218,113.0,-3.1979526514661107,-0.11916845043500264,3.0
8,0.08138297085590482,-0.0068053308509768715,127.0,-3.4255542938768073,-0.08534755930304527,6.0
9,0.09902339957736925,-0.00467620750708763,136.0,-3.427060444988158,-0.10680470367272694,3.0
10,0.11572534665087396,-0.004449568944961874,129.0,-3.3445081271164145,-0.3860563039779663,1.0
11,0.1341215756889392,0.005318975771998838,146.0,-3.3419069564113513,-0.10745187532095622,7.0
12,0.15709829291867897,0.006114955013856256,132.0,-3.5385654283596883,-0.05465388298034668,2.0
13,0.17753886772985947,0.009493030689321457,143.0,-3.3410804872374404,-0.055224720388650894,4.0
14,0.20413591353596378,0.012514542773115086,112.0,-3.850408192104999,-0.11230931859943835,7.0
15,0.24495272725782097,0.012620782951446172,162.0,-3.6086620931998787,-0.12443483552179209,5.0
16,0.27609300888313687,0.010343060715386933,149.0,-3.6874937408379895,-0.06651054525917227,11.0
17,0.33028810868419706,0.014452285280068672,140.0,-3.484937736683434,-0.16015378672343034,13.0
18,0.37188211282313643,0.022755045097053072,145.0,-3.6816051320433494,-0.0987391502421815,15.0
19,0.42798549132403824,0.012834426261716093,141.0,-3.9246463745971383,-0.12921213831391998,12.0
20,0.4814924980075177,0.013984997962583403,143.0,-3.6690626505595203,-0.08014800896247228,15.0
21,0.5506308092941625,0.020339211652634977,130.0,-3.4554250908221738,-0.07590268403291703,15.0
22,0.6152762760920341,0.020109957715758967,121.0,-3.9107726916078476,-0.10507025134794955,15.0
23,0.7113044536850454,0.008275425005178102,129.0,-3.5749837065581613,-0.10271565713062752,27.0
24,0.7703518493871934,0.024546163398831672,118.0,-3.7655000685213933,-0.09200593654107735,20.0
25,0.8450076979376181,0.030489419756677242,141.0,-3.667291280838594,-0.09184946343898565,37.0
26,0.9252806869648074,0.025124661371396656,121.0,-3.6762511708990084,-0.12800460850121453,28.0
27,0.9852124692266696,0.04048782059189137,116.0,-3.64314289278869,-0.07310874367467399,35.0
28,1.12457335284748,0.028380315728784303,100.0,-3.4575530474230596,-0.10272746663776537,30.0
29,1.1373143122318257,0.03701485554601293,102.0,-3.228269149443695,-0.10558613762290858,40.0
30,1.2742064012473018,0.045411926089668785,140.0,-3.204070197008537,-0.06469070701704953,43.0
31,1.3695395151450471,0.052954329497047835,105.0,-3.3748004370630253,-0.09205930841637365,31.0
32,1.4922830014005042,0.0512632445908843,111.0,-3.254979054974398,-0.08250077536076898,37.0
33,1.5853331159326698,0.04767598025197609,120.0,-3.2124943215540984,-0.08644699759625314,47.0
34,1.6349571898192385,0.05485371120805764,127.0,-3.0182541768031705,-0.06301942141277671,47.0
35,1.7771353978934092,0.05180399768242893,109.0,-2.9318054092094674,-0.07105552146810604,41.0
36,1.941925902280741,0.0618340058529122,91.0,-3.063288727615979,-0.1105534927919507,32.0
37,1.9940341937075239,0.045540081374850626,74.0,-2.749873887969096,-0.07803159863970151,39.0
38,2.1952826079199514,0.06437429405811529,52.0,-2.622259650044342,-0.08089097556369237,36.0
39,2.4063598920384073,0.0685708231411852,42.0,-2.7757763318148614,-0.08648547895842366,21.0
40,2.182877901407912,0.08642665210500126,25.0,-2.192771919354231,-0.09103419473398304,19.0
41,2.229554039860889,0.10297088200847308,18.0,-2.0704540498391464,-0.06595889516174794,10.0
42,2.3100560130647727,0.15537371784448623,10.0,-2.0320918635730325,-0.11387474834918976,8.0
43,1.9104844479738448,0.08218123657362801,7.0,-1.4998348977487295,-0.0975115019092401,9.0
44,1.6882797183171643,0.009197697509080172,4.0,-1.3395620381130502,-0.05369759351015091,3.0
45,2.6071132280738936,0.04935818910598755,3.0,-1.2335394152616184,-0.24522235617041588,4.0
46,2.4953841366396396,0.17375030904076993,2.0,-1.1800010311483942,-0.16948684553305307,3.0
47,2.156795129298285,0.030845222994685173,2.0,-1.0286336918652748,-0.07878201827406883,4.0
48,2.2532030330719968,0.6709805130958557,1.0,-0.772195265864138,-0.0683630108833313,1.0
49,2.290098714440794,0.0021977499127388,1.0,-0.709901285559206,-0.20087965577840805,2.0
50,2.4303272668751648,0.06703105568885803,1.0,-3.1525713088811886,-0.24440917708427468,3.0
52,,,,-0.5448527527684011,-0.07644230127334595,1.0
