ydstogo,avg_success_gain,median_success_gain,n
1.0,4.9990687,2.0,1074
2.0,9.477273,6.0,352
3.0,11.547739,9.0,199
4.0,10.709459,8.0,148
5.0,13.627273,11.0,110
6.0,16.867924,13.0,53
7.0,16.48936,14.0,47
8.0,18.757576,15.0,33
9.0,17.384615,12.0,13
10.0,17.16,15.0,50
11.0,20.461538,14.0,13
12.0,21.0,18.5,8
13.0,22.6,22.0,5
14.0,21.0,21.0,3
15.0,31.444445,32.0,9
16.0,22.5,22.5,2
17.0,29.0,29.0,1
18.0,25.0,23.0,3
19.0,27.5,27.5,2
20.0,27.5,27.5,2
21.0,23.0,23.0,1
27.0,44.0,44.0,1
31.0,45.0,45.0,1
