yardline_100,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
1.0,0.8893365,0.0679694,0.011253164,0.0061624483,0.024136037,6.333445,782
2.0,0.8581291,0.09664566,0.011468589,0.007317992,0.02514667,6.1962214,415
3.0,0.8167061,0.13304655,0.012134051,0.00787626,0.028946912,6.0090604,437
4.0,0.78598034,0.15859514,0.013566905,0.00933036,0.031075558,5.8564363,503
5.0,0.7489612,0.19551112,0.014781694,0.010154226,0.029578375,5.696084,480
6.0,0.71319646,0.22243825,0.016132334,0.011019189,0.036129568,5.5145736,469
7.0,0.68545014,0.250976,0.016575083,0.011315357,0.034594625,5.401915,486
8.0,0.6646464,0.27603552,0.016674425,0.011618276,0.029907582,5.3299,459
9.0,0.6214899,0.30922762,0.019218542,0.012317992,0.036579523,5.107478,536
10.0,0.5955992,0.32484886,0.02073945,0.0125400815,0.045067172,4.961721,410
11.0,0.5878466,0.33151892,0.021179654,0.012462661,0.045815796,4.9245696,631
12.0,0.59070176,0.3303718,0.02218101,0.012608252,0.04297214,4.933627,524
13.0,0.5958271,0.32075256,0.02312259,0.012449193,0.046652045,4.9346056,538
14.0,0.5923458,0.3215068,0.025493424,0.013406143,0.046043463,4.8929734,550
15.0,0.5869172,0.32512116,0.026452951,0.014549607,0.045792922,4.855653,543
16.0,0.57650024,0.32978237,0.027879274,0.01794198,0.04665782,4.7766156,491
17.0,0.5708875,0.3315853,0.027252913,0.017823948,0.051252235,4.747415,532
18.0,0.5595368,0.33991292,0.028872393,0.017699305,0.052757926,4.682053,588
19.0,0.5402852,0.34846687,0.032619055,0.019411856,0.057993874,4.5415587,563
20.0,0.5322851,0.35258636,0.03370071,0.022126412,0.05804225,4.4821873,664
21.0,0.5293567,0.3570281,0.033918835,0.022473542,0.05596094,4.472376,554
22.0,0.524945,0.3576399,0.034784827,0.023051765,0.0582759,4.4355454,587
23.0,0.50917345,0.3728354,0.035835724,0.023938032,0.056875393,4.360778,647
24.0,0.49494565,0.37072355,0.03665862,0.023837045,0.07242759,4.2492423,694
25.0,0.48917302,0.3667497,0.04419307,0.025929805,0.07259098,4.137952,672
26.0,0.4865351,0.36333793,0.044159483,0.0281087,0.07650505,4.1029153,598
27.0,0.47337744,0.3654971,0.045536693,0.029267563,0.08491819,4.004287,578
28.0,0.4729888,0.3677016,0.05001784,0.030275496,0.07755078,3.9738379,632
29.0,0.4614897,0.36983135,0.051658887,0.03327088,0.08230068,3.879239,697
30.0,0.45475388,0.36668247,0.0587881,0.033614483,0.0847054,3.7717288,701
31.0,0.45921078,0.35908723,0.05979438,0.03802447,0.082357526,3.7598717,608
32.0,0.45200253,0.35014066,0.06008357,0.039025534,0.09685232,3.6783328,694
33.0,0.44931173,0.35213894,0.06526309,0.040441535,0.090861574,3.6246705,743
34.0,0.43942803,0.34710693,0.07124054,0.040918987,0.09930879,3.4971023,804
35.0,0.43146294,0.34154865,0.06973094,0.040404536,0.11462627,3.4373424,806
36.0,0.43806672,0.33338025,0.07269728,0.0445188,0.10865773,3.4266167,721
37.0,0.43709898,0.32609168,0.07649934,0.048106916,0.1086224,3.3621345,739
38.0,0.44380367,0.3093216,0.08164501,0.04934632,0.112154275,3.3192859,811
39.0,0.43659988,0.309519,0.083053224,0.050152507,0.11682094,3.2574432,810
40.0,0.42507768,0.3004894,0.08138536,0.052298523,0.13702539,3.1547472,837
41.0,0.43799695,0.29118273,0.08898144,0.056053933,0.12165396,3.153162,788
42.0,0.431678,0.28498125,0.09580939,0.059657678,0.123782165,3.0316339,785
43.0,0.4088557,0.2871075,0.096221454,0.06060796,0.14315401,2.8725336,847
44.0,0.41572142,0.2851553,0.09816732,0.061762225,0.13505964,2.897786,916
45.0,0.4067538,0.28582475,0.0967345,0.060977302,0.14560476,2.8492208,948
46.0,0.41211838,0.27299926,0.10338872,0.06240028,0.14494108,2.7975497,832
47.0,0.41348308,0.27012902,0.10399072,0.06751643,0.14064837,2.7790074,781
48.0,0.40401536,0.26456258,0.110061646,0.068434305,0.14865799,2.6508353,919
49.0,0.3980582,0.26228464,0.111079924,0.06899945,0.15534392,2.5933537,994
50.0,0.3929408,0.260458,0.110863894,0.07079498,0.16057228,2.5483842,959
51.0,0.38897347,0.25668445,0.11564885,0.071888946,0.16243598,2.4723914,879
52.0,0.3926399,0.2541847,0.121131346,0.073243186,0.15434079,2.448018,904
53.0,0.391264,0.2572268,0.12281296,0.0764649,0.14765252,2.4259105,992
54.0,0.39975205,0.24114427,0.12902692,0.079965286,0.14536367,2.3833246,1046
55.0,0.3850874,0.23663725,0.13321412,0.08031259,0.15999976,2.236629,1022
56.0,0.3742332,0.23288132,0.1321705,0.08218536,0.17380612,2.1508298,879
57.0,0.3816441,0.23632903,0.13862126,0.0850813,0.15341435,2.159415,918
58.0,0.3720385,0.23361632,0.14438178,0.08545054,0.15963003,2.042578,1003
59.0,0.37356722,0.23710136,0.14764911,0.09051696,0.14624563,2.0253906,1177
60.0,0.36353415,0.22944625,0.14879155,0.08779688,0.16551712,1.9322942,1322
61.0,0.3622188,0.23079193,0.15285301,0.0894958,0.1599341,1.8932377,945
62.0,0.3578683,0.22181775,0.15685116,0.09045474,0.16834342,1.8049176,1035
63.0,0.36033013,0.21801141,0.15872945,0.09289568,0.16531976,1.7903004,1134
64.0,0.3633672,0.21722923,0.16196097,0.094187364,0.15834104,1.7824152,1309
65.0,0.34032223,0.21135834,0.16704829,0.09829089,0.1780061,1.5554485,1644
66.0,0.3464684,0.21653326,0.17033562,0.10182723,0.15994819,1.5801619,801
67.0,0.3469532,0.20568015,0.17054611,0.103156134,0.16891055,1.5449694,842
68.0,0.3492772,0.2037379,0.17040457,0.1042491,0.16794156,1.5522252,896
69.0,0.34640235,0.20559554,0.1835629,0.11065317,0.1492996,1.4262478,964
70.0,0.3406679,0.19404969,0.18109792,0.10937783,0.17028745,1.372291,2738
71.0,0.33263707,0.1943719,0.17743412,0.109743565,0.18143357,1.341841,788
72.0,0.32714677,0.194694,0.18893042,0.11300005,0.17171259,1.2139211,809
73.0,0.33250672,0.19406807,0.19502123,0.117105044,0.15675418,1.1947784,774
74.0,0.31869164,0.19083513,0.19143313,0.115460515,0.17914149,1.1184081,838
75.0,0.32124856,0.19187617,0.1969567,0.11712536,0.16806996,1.096047,6157
76.0,0.3073412,0.1874364,0.21056476,0.12342005,0.166623,0.87094855,713
77.0,0.31327423,0.18259053,0.21495137,0.12569053,0.15882204,0.86022174,708
78.0,0.302236,0.17910536,0.21252769,0.12987943,0.17145394,0.7768959,652
79.0,0.3014989,0.1773265,0.2135607,0.13234153,0.17068544,0.7513211,652
80.0,0.29190442,0.17297587,0.20641306,0.13011113,0.19408572,0.7276895,1705
81.0,0.2932059,0.1712431,0.21465115,0.13329168,0.18292612,0.6640782,523
82.0,0.28586417,0.17294273,0.21624345,0.13402498,0.18621029,0.6044712,481
83.0,0.29161406,0.17294277,0.22505431,0.13655429,0.1686455,0.5747266,469
84.0,0.2924281,0.1682462,0.23080607,0.14315014,0.16010906,0.50627846,487
85.0,0.28026292,0.16460821,0.2273793,0.1447651,0.17768948,0.42897385,467
86.0,0.26992846,0.1639694,0.22750723,0.14451225,0.18899603,0.35480985,408
87.0,0.2679435,0.15911551,0.22660467,0.14500657,0.1955141,0.32912844,390
88.0,0.2765499,0.16391921,0.23524627,0.15231311,0.16561818,0.3188033,337
89.0,0.26066473,0.15720038,0.23153837,0.14797351,0.19669071,0.22706336,318
90.0,0.26823163,0.15350217,0.24397564,0.15713882,0.16914348,0.14910062,450
91.0,0.2500829,0.14644897,0.22833155,0.14847083,0.21882203,0.13520345,392
92.0,0.2533305,0.15605241,0.24560519,0.15920849,0.17291713,0.023802476,317
93.0,0.23546368,0.14809597,0.22999926,0.15056555,0.22171338,0.007007369,215
94.0,0.25028136,0.1498832,0.23814937,0.15541975,0.18792169,0.03623347,188
95.0,0.23875438,0.14195222,0.23382342,0.1570502,0.20762596,-0.047805782,177
96.0,0.25053436,0.12257378,0.23657635,0.161114,0.20794049,-0.05585198,174
97.0,0.22581503,0.11205635,0.21865542,0.14798442,0.26313016,-0.118061066,140
98.0,0.22134452,0.115201786,0.22701083,0.15048939,0.24729769,-0.21849774,178
99.0,0.19887939,0.11187163,0.23389731,0.15100294,0.23911013,-0.48874998,171
