field_position,punt_epa,punt_wpa,opp_td_prob,opp_fg_prob,opp_no_score_prob,touchback_prob,inside_twenty_prob,opp_start_yl100,n
28.0,-1.8974984,-0.055610612,0.0055720494,0.0042247213,0.45189655,0.0,0.0,69.0,1
29.0,-1.628274,-0.0008277162,0.015057511,0.045478214,0.5026031,0.0,1.0,90.0,1
30.0,-1.684168,0.003889668,0.060893156,0.04813517,0.3461443,0.0,1.0,89.5,2
31.0,-1.4142196,-0.004914239,0.08178754,0.07265802,0.30150437,0.0,1.0,96.0,1
32.0,-1.3596318,-0.003768852,0.0065810014,0.0032280034,0.5362293,0.0,1.0,85.0,1
33.0,-1.4142315,-0.024950627,0.07692708,0.056496717,0.3978676,0.6,0.4,82.2,5
34.0,-1.1073421,-0.0118056955,0.17527735,0.10424878,0.15803179,0.0,0.75,85.25,4
35.0,-0.37582478,-0.028061586,0.10919359,0.07388505,0.3659871,0.22222222,0.7777778,92.44444,9
36.0,-0.38145936,0.0033739144,0.16516937,0.12145531,0.2194315,0.18181819,0.8181818,89.27273,11
37.0,-0.5211287,-0.017597867,0.21655993,0.14033128,0.15247093,0.18181819,0.8181818,89.454544,33
38.0,-0.46038523,-0.023981104,0.21356818,0.1391607,0.21614869,0.25490198,0.7254902,88.588234,51
39.0,-0.4644976,-0.010855037,0.21000338,0.13455977,0.23851062,0.22680412,0.742268,89.13402,97
40.0,-0.4775872,-0.011271022,0.22416723,0.14585711,0.19201206,0.2086331,0.76978415,89.10791,139
41.0,-0.32188922,-0.0037062098,0.22996236,0.14572549,0.20631386,0.18382353,0.8308824,89.89706,136
42.0,-0.32307982,-0.0037337777,0.23962952,0.15352185,0.17995572,0.2060606,0.76969695,88.86667,165
43.0,-0.3591693,-0.0032395904,0.23013897,0.1495288,0.2051038,0.17127071,0.7845304,88.39779,181
44.0,-0.3762323,-0.004175449,0.25146413,0.15801841,0.15349679,0.185,0.795,87.61,200
45.0,-0.33164477,-0.0033637788,0.2377871,0.1514078,0.18894458,0.16666667,0.8063063,88.545044,222
46.0,-0.23081474,0.004187916,0.24461378,0.15040445,0.19148257,0.15384616,0.78698224,88.14793,169
47.0,-0.2742816,-0.0003288541,0.243224,0.15778422,0.1849822,0.13761468,0.8211009,87.90826,218
48.0,-0.17999959,-0.0036397213,0.24965777,0.15411787,0.18950067,0.16228071,0.7850877,87.9693,228
49.0,-0.28064722,0.0045845886,0.25634223,0.15565819,0.17360184,0.14655173,0.79741377,87.04742,232
50.0,-0.2631533,0.004518392,0.24342753,0.15591504,0.2053817,0.11594203,0.8043478,86.48913,276
51.0,-0.0764383,0.000338176,0.26177308,0.15902461,0.1774224,0.13425925,0.8194444,87.31944,216
52.0,-0.17569555,6.6640605e-05,0.25781876,0.15508914,0.19094887,0.12992126,0.7637795,86.23622,254
53.0,-0.2231563,0.003059494,0.25944677,0.15627375,0.19184564,0.19029851,0.69402987,85.14552,268
54.0,-0.15173379,0.004604401,0.26627073,0.16176982,0.18774588,0.11673152,0.72762644,85.22957,257
55.0,-0.10135872,0.006323954,0.26495817,0.15717845,0.20626934,0.14857143,0.68,84.608574,350
56.0,-0.08788453,0.005239311,0.26916122,0.16165054,0.19411014,0.13621262,0.6511628,83.12624,301
57.0,-0.05699105,0.005780818,0.2855574,0.16952904,0.15647225,0.12847222,0.6354167,84.15278,288
58.0,0.033298872,0.005919067,0.28009987,0.1646508,0.17811616,0.13475177,0.6524823,84.1383,282
59.0,-0.11297951,-0.0017474972,0.28488237,0.16890594,0.16936545,0.10773481,0.61049724,82.66575,362
60.0,0.0038624252,0.00020834316,0.28773144,0.16604112,0.17966628,0.12573099,0.5233918,82.49415,342
61.0,-0.03559442,0.0017535087,0.28197232,0.16377701,0.19392993,0.09148265,0.5835962,82.44795,317
62.0,-0.025876302,-0.0016955239,0.2942746,0.16977453,0.17280579,0.08049536,0.5108359,80.79257,323
63.0,-0.01720211,-0.00075873884,0.29163885,0.17257383,0.17734459,0.083333336,0.5029762,80.51786,336
64.0,-0.19882812,-0.0064064926,0.29012468,0.17016566,0.18686485,0.04735376,0.3955432,77.28413,359
65.0,0.03712462,9.51511e-05,0.2999488,0.17988387,0.17096485,0.06469002,0.44204852,79.16173,371
66.0,-0.19566856,-0.0032413106,0.29235604,0.18108514,0.16461562,0.04090909,0.44772726,78.30227,440
67.0,-0.08734526,-0.005226694,0.31050655,0.18728995,0.1429933,0.04347826,0.35926774,76.565216,437
68.0,-0.12104138,0.00073054986,0.3097959,0.18781656,0.15067568,0.03846154,0.26682693,75.5,416
69.0,-0.033404175,0.012884621,0.3108136,0.19027324,0.15857558,0.015625,0.28385416,75.16146,384
70.0,-0.08379193,0.0070723714,0.30714595,0.1894323,0.17638369,0.015317286,0.22319475,73.21663,457
71.0,-0.12578404,0.01350666,0.31970993,0.1976902,0.14096527,0.016509434,0.19103773,73.06132,424
72.0,-0.029943384,0.010609375,0.32967418,0.20262839,0.14268517,0.021377672,0.13301663,71.94062,421
73.0,-0.039385967,0.011761627,0.33025986,0.20723128,0.14162578,0.0121951215,0.11463415,70.69268,410
74.0,-0.11781961,0.010551626,0.32947794,0.20773794,0.16071998,0.01734104,0.08092485,68.30347,346
75.0,0.012773002,0.010364473,0.34373322,0.21201745,0.1381173,0.0047281324,0.09456265,69.520096,423
76.0,0.04879723,0.008369632,0.34031028,0.21963169,0.14892936,0.012012012,0.057057057,67.81381,333
77.0,0.087623484,0.010351836,0.3382909,0.21442787,0.1724493,0.0032894737,0.049342107,66.70066,304
78.0,0.050169535,0.009823494,0.34677792,0.22814721,0.14757374,0.0,0.0625,65.33088,272
79.0,-0.014528791,0.008463943,0.33882162,0.23147553,0.16194756,0.010869565,0.036231883,63.757248,276
