yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
1.0,1.0,0.4898022,0.3929231,0.03398605,0.01911723,0.059848845,4.3190093,282
1.0,6.0,0.08434406,0.84639376,0.029644094,0.020345828,0.0171177,2.8640094,1
2.0,1.0,0.42872062,0.4606694,0.032257855,0.019777894,0.054787327,4.103633,32
2.0,2.0,0.0827763,0.871882,0.012475458,0.008868446,0.022862332,3.082579,176
3.0,1.0,0.4270471,0.43822622,0.036111314,0.022973092,0.07200544,3.9875562,30
3.0,2.0,0.08441257,0.8611124,0.012723988,0.008916008,0.031712096,3.0599134,20
3.0,3.0,0.03988167,0.9156687,0.008324598,0.005693693,0.029690793,2.951759,188
4.0,1.0,0.327071,0.53792685,0.033210263,0.018985018,0.079464294,3.6188595,38
4.0,2.0,0.0744076,0.8686293,0.012567197,0.00970673,0.033468097,3.0112472,21
4.0,3.0,0.041264564,0.9051476,0.009103254,0.0067496626,0.03663409,2.9218318,23
4.0,4.0,0.024966389,0.9364176,0.006909584,0.0048642606,0.026203198,2.9218843,158
5.0,1.0,0.3157064,0.58497244,0.03898783,0.021943517,0.03674058,3.6275313,36
5.0,2.0,0.06675083,0.88085103,0.013093452,0.008413994,0.030145507,2.9936368,19
5.0,3.0,0.037437953,0.91344124,0.0074637523,0.0051345187,0.03596963,2.9353673,13
5.0,4.0,0.0195612,0.9567228,0.0069775837,0.004324788,0.012126189,2.9454663,27
5.0,5.0,0.015056746,0.96140945,0.0061332807,0.0040285853,0.013098209,2.9348276,153
6.0,1.0,0.31530145,0.5694835,0.035308078,0.020495871,0.057819817,3.608337,33
6.0,2.0,0.055918682,0.90983313,0.010775768,0.008051254,0.0149050765,3.021655,19
6.0,3.0,0.051061787,0.9136335,0.014776045,0.009967057,0.009929936,2.9653406,20
6.0,4.0,0.032660708,0.9196513,0.007813331,0.0054502557,0.034003213,2.9168003,18
6.0,5.0,0.0105671985,0.97043514,0.0054166466,0.0035242708,0.009887574,2.9368875,24
6.0,6.0,0.016545165,0.9519514,0.0064611537,0.0044102687,0.020350168,2.913419,123
7.0,1.0,0.3399612,0.54854923,0.03873732,0.022740705,0.048095148,3.6876066,24
7.0,2.0,0.097596854,0.83904797,0.017972518,0.013035063,0.031376142,3.0360785,18
7.0,3.0,0.01507876,0.9623496,0.00724188,0.0046068123,0.010461118,2.9282522,18
7.0,4.0,0.016458191,0.9494205,0.00652799,0.0043042805,0.023016963,2.9050028,18
7.0,5.0,0.026434235,0.9280111,0.008017031,0.00495064,0.032140285,2.898506,23
7.0,6.0,0.01625941,0.9515746,0.007933397,0.0052047432,0.018716043,2.897589,19
7.0,7.0,0.015149216,0.95072484,0.0068694167,0.004246491,0.022733007,2.8975883,115
8.0,1.0,0.33673924,0.54490227,0.037747294,0.02439221,0.054447748,3.6557353,21
8.0,2.0,0.05869618,0.898135,0.012198044,0.008690092,0.021670626,2.9943264,23
8.0,3.0,0.033769194,0.919387,0.007669816,0.0054342714,0.033313684,2.924897,18
8.0,4.0,0.02334184,0.94438744,0.008816342,0.0064956998,0.016556332,2.9156365,14
8.0,5.0,0.018494852,0.9480445,0.008436785,0.005336146,0.019353764,2.8987765,31
8.0,6.0,0.0044635134,0.97678035,0.0055537377,0.0032977627,0.009792632,2.9128509,16
8.0,7.0,0.014882735,0.95291895,0.008981245,0.005221585,0.017699335,2.8845842,33
8.0,8.0,0.011371211,0.96351165,0.0077608717,0.004819989,0.012304294,2.9014747,90
9.0,1.0,0.27086574,0.64793545,0.035572093,0.021621052,0.02263052,3.5270379,20
9.0,2.0,0.07526951,0.8266212,0.012437228,0.007422965,0.07745861,2.8982098,19
9.0,3.0,0.033859704,0.91389954,0.009404466,0.0062168767,0.036203258,2.8944402,18
9.0,4.0,0.018962005,0.94870555,0.009819231,0.0061733024,0.015979027,2.8918097,26
9.0,5.0,0.020278784,0.9420833,0.009213421,0.005816217,0.022220988,2.886516,25
9.0,6.0,0.0071674255,0.97572,0.00868439,0.0052339677,0.0030441952,2.900837,18
9.0,7.0,0.011561104,0.9537938,0.008030413,0.0049803494,0.021376308,2.8712933,20
9.0,8.0,0.013749415,0.93963104,0.008371445,0.0052872016,0.03265714,2.840869,16
9.0,9.0,0.010514974,0.9552048,0.0075361077,0.0047597527,0.021742068,2.872321,73
10.0,1.0,0.28194606,0.6164912,0.03578344,0.022053001,0.042283658,3.5075874,22
10.0,2.0,0.06829392,0.8589394,0.016611233,0.010325966,0.04499643,2.9083395,18
10.0,3.0,0.019895544,0.9519992,0.010904329,0.0069853687,0.009927244,2.898057,21
10.0,4.0,0.019727916,0.9481117,0.011004071,0.0068207034,0.014035499,2.885048,16
10.0,5.0,0.027587885,0.92876697,0.011928924,0.0078061013,0.023444833,2.8728592,25
10.0,6.0,0.016602386,0.94829816,0.011710009,0.007331171,0.01569004,2.8573718,13
10.0,7.0,0.015501903,0.94332904,0.010033241,0.006456551,0.02435785,2.8491142,20
10.0,8.0,0.010340406,0.9598073,0.009764031,0.0059347358,0.013959474,2.8656683,18
10.0,9.0,0.011946525,0.95870185,0.010256711,0.006294707,0.012531717,2.8691847,18
10.0,10.0,0.009973508,0.9586743,0.008768662,0.005424529,0.016948523,2.8682635,73
11.0,1.0,0.29398534,0.59688604,0.039419,0.023266293,0.044896968,3.5039136,37
11.0,2.0,0.060980488,0.85229343,0.013342938,0.008759098,0.063938424,2.8646045,14
11.0,3.0,0.03367095,0.901786,0.011561093,0.00634336,0.046118613,2.8414412,19
11.0,4.0,0.023172783,0.9273562,0.011221073,0.0067430907,0.031131264,2.8457425,18
11.0,5.0,0.014969968,0.9509824,0.011008034,0.006747184,0.015999187,2.8604395,14
11.0,6.0,0.012963429,0.955413,0.011612328,0.006944821,0.0127938185,2.8549435,20
11.0,7.0,0.009859136,0.95551616,0.009402089,0.0063017863,0.018679038,2.850961,21
11.0,8.0,0.012005,0.95702654,0.0111209145,0.0067122425,0.012894048,2.8571246,23
11.0,9.0,0.014276146,0.9557313,0.01337198,0.008444627,0.007896062,2.8482563,16
11.0,10.0,0.0076288665,0.9549072,0.006758556,0.0039871284,0.026549177,2.8589344,42
11.0,11.0,0.009986334,0.957392,0.009960797,0.006016803,0.016428169,2.8543386,54
12.0,1.0,0.25536454,0.65744585,0.038214467,0.021715684,0.026025264,3.4280272,25
12.0,2.0,0.0548169,0.9047099,0.019510215,0.011681887,0.0087651275,2.9263685,14
12.0,3.0,0.027672997,0.9167801,0.0117205605,0.0075423666,0.035917323,2.8394592,21
12.0,4.0,0.021334337,0.94341195,0.01520133,0.009653997,0.010058772,2.8442693,15
12.0,5.0,0.019179493,0.94077414,0.013363818,0.007767154,0.018585458,2.83985,23
12.0,6.0,0.011191367,0.94970524,0.009864289,0.0072227595,0.021780813,2.8368394,16
12.0,7.0,0.019360583,0.94088346,0.014809845,0.009328154,0.015236846,2.8266451,15
12.0,8.0,0.011520191,0.9539126,0.011896437,0.007447001,0.0150006795,2.836838,16
12.0,9.0,0.008162877,0.964361,0.01184327,0.0069910483,0.0084595345,2.846333,20
12.0,10.0,0.013972341,0.92864364,0.006645241,0.00479033,0.04574738,2.8228924,25
12.0,11.0,0.020165665,0.9246767,0.01446357,0.007894441,0.032333564,2.7905865,12
12.0,12.0,0.013926126,0.9446918,0.012026106,0.0072606327,0.02180599,2.825649,40
13.0,1.0,0.2689848,0.6209295,0.03518524,0.019906955,0.053756576,3.4404404,30
13.0,2.0,0.06115859,0.86803275,0.019886179,0.011437711,0.03875234,2.8591232,21
13.0,3.0,0.039793864,0.8960991,0.015785383,0.009793233,0.038006045,2.8271847,27
13.0,4.0,0.03834367,0.90719527,0.018896865,0.011308259,0.023642289,2.8241713,19
