yardline_100,ydstogo,epa,wpa
1.0,1.0,2.5115855,0.08498488
2.0,1.0,2.534467,0.074177444
2.0,2.0,3.824735,0.06928827
3.0,1.0,2.4543653,0.06719872
3.0,2.0,3.744728,0.06808552
3.0,3.0,4.0564485,0.07098653
4.0,1.0,2.7897415,0.061456103
4.0,2.0,3.7164814,0.060423594
4.0,3.0,4.01731,0.037098866
4.0,4.0,4.176636,0.1250209
5.0,1.0,2.7800884,0.057972074
5.0,2.0,3.6057673,0.021111572
5.0,4.0,4.084715,0.15982854
5.0,5.0,4.139003,-0.00016198268
6.0,1.0,2.2231019,0.042112198
6.0,2.0,3.004141,0.073046505
6.0,3.0,3.8070567,0.062373128
6.0,4.0,4.1354313,0.19704244
6.0,5.0,4.1498084,0.24539873
6.0,6.0,4.1158094,0.028383018
7.0,1.0,1.6484746,0.051458426
7.0,2.0,3.9104068,0.062805675
7.0,3.0,3.3359077,0.06479061
7.0,5.0,4.016289,0.0071926066
7.0,7.0,4.2815886,0.061212383
8.0,1.0,1.8106197,0.03563346
8.0,2.0,2.847435,0.14122787
8.0,3.0,2.590502,0.112285465
8.0,4.0,4.1459684,0.06826067
8.0,5.0,2.9670067,0.03670077
8.0,7.0,4.3877,-0.00016884157
8.0,8.0,4.307671,0.07019055
9.0,1.0,1.7279332,0.03160314
9.0,2.0,2.1917424,0.09477948
9.0,4.0,2.8364244,0.012694715
9.0,5.0,3.8370304,0.0074019562
9.0,9.0,4.3965287,0.11272895
10.0,1.0,1.8312511,0.047149736
10.0,2.0,4.2125125,0.031729262
10.0,3.0,3.1129746,0.08801425
10.0,7.0,4.264297,-0.0004920527
10.0,10.0,4.2353377,0.04670507
11.0,1.0,1.7739725,0.054977745
11.0,2.0,2.0802686,0.18284369
11.0,3.0,3.0845673,0.056723077
11.0,4.0,4.1403847,0.13669413
11.0,11.0,4.164882,-0.0003881329
12.0,1.0,1.7442214,0.056695905
12.0,2.0,2.3468928,0.043796577
12.0,4.0,4.0590405,0.2715793
12.0,5.0,2.1653252,0.16928703
12.0,10.0,4.3994412,0.27813575
13.0,1.0,1.500706,0.045796555
13.0,2.0,2.4214036,0.09640038
13.0,3.0,4.304802,-0.000101401056
13.0,4.0,2.9442213,0.009842082
13.0,5.0,3.590957,0.0024107695
13.0,7.0,4.23624,0.009659907
13.0,13.0,4.404615,0.19009325
14.0,1.0,1.6009462,0.04287675
14.0,2.0,2.88668,0.053044524
14.0,3.0,3.118015,0.05945538
14.0,4.0,3.3720393,0.083017215
14.0,6.0,3.1324105,0.037988283
15.0,1.0,1.8041476,0.045666985
15.0,2.0,2.3374586,0.09062956
15.0,3.0,2.6492767,0.0390378
15.0,4.0,3.5474129,0.031741567
15.0,5.0,3.0957851,0.057910264
15.0,6.0,4.2485194,0.00013884708
15.0,11.0,3.0401251,0.017561395
16.0,1.0,1.5524228,0.05063399
16.0,2.0,3.5337799,0.1573916
16.0,3.0,2.045823,0.03629668
16.0,5.0,4.449896,0.023564963
16.0,9.0,3.2806187,0.14042118
16.0,10.0,4.40319,0.0030931006
17.0,1.0,1.4497404,0.042221595
17.0,2.0,2.281985,0.040393975
17.0,3.0,3.5713947,0.08657545
17.0,5.0,4.0264015,0.034052085
17.0,9.0,3.6996384,0.010261503
18.0,1.0,1.7944679,0.063724145
18.0,2.0,1.3376366,0.081101924
18.0,3.0,4.3302116,0.04062291
18.0,4.0,2.262604,0.06143105
18.0,5.0,2.391844,0.0009820494
18.0,6.0,2.4771173,0.008029499
18.0,9.0,3.140888,0.0003488497
19.0,1.0,2.1323645,0.057365414
19.0,2.0,2.253291,0.06482994
19.0,4.0,4.5288844,0.074975155
19.0,5.0,4.5537,0.043354735
19.0,6.0,2.7471344,0.049859196
19.0,10.0,3.664448,0.0047342624
20.0,1.0,1.5897243,0.038097173
20.0,2.0,2.9823039,0.07425406
20.0,3.0,2.7143488,0.04584357
20.0,4.0,2.3459659,0.075831026
20.0,5.0,4.620787,0.07907932
21.0,1.0,1.5821052,0.047235925
21.0,2.0,3.4878592,0.15997009
21.0,4.0,3.3846865,0.1088447
21.0,5.0,2.286271,0.0063112676
21.0,10.0,2.4109755,0.0047671017
22.0,1.0,1.8329,0.077047825
22.0,2.0,2.3955529,0.12606281
22.0,3.0,3.6273494,0.1205944
22.0,4.0,2.590495,0.011244925
22.0,7.0,2.7948802,0.06348859
22.0,8.0,4.5295334,0.023748485
22.0,9.0,3.010352,0.001022283
22.0,10.0,3.119903,0.07409936
22.0,15.0,3.5459945,0.002453871
23.0,1.0,1.6677514,0.035161678
23.0,2.0,2.1775804,0.053458717
23.0,3.0,3.4312906,0.00567213
23.0,4.0,3.0977905,0.028179342
23.0,8.0,3.1640913,0.0018681445
23.0,21.0,4.5592856,0.031251077
24.0,1.0,1.416929,0.05699552
24.0,2.0,2.881454,0.023952719
24.0,3.0,2.713496,0.051003445
24.0,4.0,4.6663857,0.08498241
24.0,5.0,3.6798487,0.028402304
24.0,8.0,3.020227,0.08559281
24.0,10.0,4.8516355,0.057936445
24.0,11.0,2.988197,0.019072477
25.0,1.0,2.1044712,0.060963377
25.0,2.0,2.1666417,0.03046054
25.0,3.0,3.9236085,0.053452432
25.0,4.0,3.0061421,0.061528604
25.0,5.0,2.652614,0.011888146
26.0,1.0,1.3799671,0.05348298
26.0,2.0,2.7190456,0.1103423
26.0,3.0,2.0156837,0.0011102522
26.0,5.0,2.1441667,0.20607185
26.0,7.0,2.9699636,0.0007826686
27.0,1.0,1.5107745,0.04410116
27.0,2.0,3.1214244,0.13986266
27.0,3.0,3.0578246,0.054159734
27.0,4.0,2.5698488,0.00058701355
27.0,5.0,1.557828,0.077959806
27.0,6.0,2.4959054,0.10260001
27.0,8.0,2.8782837,0.049124688
28.0,1.0,1.9473233,0.057054184
28.0,2.0,2.528525,0.0531712
28.0,3.0,2.5626233,0.040185362
28.0,4.0,2.6790962,0.12803933
28.0,5.0,2.6714737,0.06949377
28.0,6.0,2.4466946,0.00093728956
28.0,10.0,3.731363,0.004912857
28.0,20.0,5.0426345,0.2027498
29.0,1.0,1.9375095,0.055750374
29.0,2.0,2.5410564,0.0929994
29.0,3.0,3.1587079,0.05306591
29.0,4.0,2.6926365,0.04624906
29.0,5.0,2.9976304,0.03194845
29.0,7.0,-0.077340364,-0.00011247555
30.0,1.0,1.7379966,0.041271016
30.0,2.0,2.7180266,0.06217389
30.0,3.0,-1.3684744,0.00027027726
30.0,4.0,2.8108544,0.106158
30.0,5.0,3.3251002,0.045415882
30.0,8.0,2.2586055,0.0100391675
31.0,1.0,2.2264616,0.057029713
31.0,2.0,2.6846173,0.08572116
31.0,3.0,2.7561195,0.09067184
31.0,4.0,5.452264,-8.100151e-07
31.0,5.0,3.02205,0.10430947
32.0,1.0,1.9421654,0.054215867
32.0,2.0,3.2402864,0.054849133
32.0,3.0,3.1410594,0.091249436
32.0,4.0,4.156348,0.21482106
32.0,5.0,4.2900796,0.1361789
32.0,6.0,3.374302,0.06930414
32.0,7.0,2.904508,0.012366392
33.0,1.0,2.1125557,0.0722636
33.0,2.0,4.5513554,0.14890462
33.0,3.0,3.61793,0.102386475
33.0,5.0,3.2315388,0.13955846
33.0,8.0,2.322397,0.00041469902
33.0,10.0,3.813908,0.026143163
34.0,1.0,1.8315209,0.062150918
34.0,2.0,2.7423584,0.059635263
34.0,3.0,3.3817692,0.062215433
34.0,4.0,3.505853,0.07816974
34.0,6.0,2.3607326,0.00020074844
34.0,7.0,3.1848438,0.33905447
34.0,10.0,2.4150345,0.00053028594
35.0,1.0,2.485527,0.085002586
35.0,2.0,2.2548988,0.04231596
35.0,3.0,4.008495,0.05086266
35.0,5.0,2.8130686,0.09388924
35.0,6.0,1.6095523,0.07323767
35.0,7.0,4.6120386,0.09177715
35.0,9.0,2.8384032,0.079092026
35.0,10.0,3.698007,0.023642752
35.0,12.0,5.8779798,0.07360619
